time,temp,rpm
0,66.0,N/A
0,66.0,N/A
1,66.0,N/A
2,66.0,N/A
3,66.0,N/A
4,66.0,N/A
5,66.0,N/A
6,66.0,N/A
7,66.0,N/A
8,66.0,N/A
9,53.0,N/A
10,53.0,N/A
11,53.0,N/A
12,53.0,N/A
13,53.0,N/A
14,53.0,N/A
15,53.0,N/A
16,53.0,N/A
17,53.0,N/A
18,53.0,N/A
19,54.0,N/A
20,54.0,N/A
21,54.0,N/A
22,54.0,N/A
23,54.0,N/A
24,54.0,N/A
25,54.0,N/A
26,54.0,N/A
27,54.0,N/A
28,54.0,N/A
29,54.0,N/A
30,54.0,N/A
31,54.0,N/A
32,54.0,N/A
33,54.0,N/A
34,54.0,N/A
35,54.0,N/A
36,54.0,N/A
37,54.0,N/A
38,54.0,N/A
39,54.0,N/A
40,54.0,N/A
41,54.0,N/A
42,54.0,N/A
43,54.0,N/A
44,54.0,N/A
45,54.0,N/A
46,54.0,N/A
47,54.0,N/A
48,54.0,N/A
49,54.0,N/A
50,54.0,N/A
51,54.0,N/A
52,54.0,N/A
53,54.0,N/A
54,54.0,N/A
55,54.0,N/A
56,54.0,N/A
57,54.0,N/A
58,54.0,N/A
59,54.0,N/A
60,54.0,N/A
61,54.0,N/A
62,54.0,N/A
63,54.0,N/A
64,54.0,N/A
65,54.0,N/A
66,54.0,N/A
67,54.0,N/A
68,54.0,N/A
69,53.0,N/A
70,53.0,N/A
71,53.0,N/A
72,53.0,N/A
73,53.0,N/A
74,53.0,N/A
75,53.0,N/A
76,53.0,N/A
77,53.0,N/A
78,53.0,N/A
79,54.0,N/A
80,54.0,N/A
81,54.0,N/A
82,54.0,N/A
83,54.0,N/A
84,54.0,N/A
85,54.0,N/A
86,54.0,N/A
87,54.0,N/A
88,54.0,N/A
89,54.0,N/A
90,54.0,N/A
91,54.0,N/A
92,54.0,N/A
93,54.0,N/A
94,54.0,N/A
95,54.0,N/A
96,54.0,N/A
97,54.0,N/A
98,53.0,N/A
99,53.0,N/A
100,53.0,N/A
101,53.0,N/A
102,53.0,N/A
103,53.0,N/A
104,53.0,N/A
105,53.0,N/A
106,53.0,N/A
107,53.0,N/A
108,53.0,N/A
109,53.0,N/A
110,53.0,N/A
111,53.0,N/A
112,53.0,N/A
113,53.0,N/A
114,53.0,N/A
115,53.0,N/A
116,53.0,N/A
117,54.0,N/A
118,54.0,N/A
119,54.0,N/A
120,54.0,N/A
121,54.0,N/A
122,54.0,N/A
123,54.0,N/A
124,54.0,N/A
125,54.0,N/A
126,54.0,N/A
127,54.0,N/A
128,54.0,N/A
129,54.0,N/A
130,54.0,N/A
131,54.0,N/A
132,54.0,N/A
133,54.0,N/A
134,54.0,N/A
135,54.0,N/A
136,54.0,N/A
137,54.0,N/A
138,54.0,N/A
139,54.0,N/A
140,54.0,N/A
141,54.0,N/A
142,54.0,N/A
143,54.0,N/A
144,54.0,N/A
145,54.0,N/A
146,54.0,N/A
147,54.0,N/A
148,54.0,N/A
149,54.0,N/A
150,54.0,N/A
151,54.0,N/A
152,54.0,N/A
153,54.0,N/A
154,54.0,N/A
155,54.0,N/A
156,54.0,N/A
157,54.0,N/A
158,54.0,N/A
159,54.0,N/A
160,54.0,N/A
161,54.0,N/A
162,54.0,N/A
163,54.0,N/A
164,54.0,N/A
165,54.0,N/A
166,54.0,N/A
167,53.0,N/A
168,53.0,N/A
169,53.0,N/A
170,53.0,N/A
171,53.0,N/A
172,53.0,N/A
173,53.0,N/A
174,53.0,N/A
175,53.0,N/A
176,53.0,N/A
177,57.0,N/A
178,57.0,N/A
179,57.0,N/A
180,57.0,N/A
181,57.0,N/A
182,57.0,N/A
183,57.0,N/A
184,57.0,N/A
185,57.0,N/A
186,57.0,N/A
187,54.0,N/A
188,54.0,N/A
189,54.0,N/A
190,54.0,N/A
191,54.0,N/A
192,54.0,N/A
193,54.0,N/A
194,54.0,N/A
195,54.0,N/A
196,54.0,N/A
197,54.0,N/A
198,54.0,N/A
199,54.0,N/A
200,54.0,N/A
201,54.0,N/A
202,54.0,N/A
203,54.0,N/A
204,54.0,N/A
205,54.0,N/A
206,54.0,N/A
207,54.0,N/A
208,54.0,N/A
209,54.0,N/A
210,54.0,N/A
211,54.0,N/A
212,54.0,N/A
213,54.0,N/A
214,54.0,N/A
215,54.0,N/A
216,54.0,N/A
217,53.0,N/A
218,53.0,N/A
219,53.0,N/A
220,53.0,N/A
221,53.0,N/A
222,53.0,N/A
223,53.0,N/A
224,53.0,N/A
225,53.0,N/A
226,53.0,N/A
227,76.0,N/A
228,76.0,N/A
229,76.0,N/A
230,76.0,N/A
231,76.0,N/A
232,76.0,N/A
233,76.0,N/A
234,76.0,N/A
235,76.0,N/A
236,76.0,N/A
237,77.0,N/A
238,77.0,N/A
239,77.0,N/A
240,77.0,N/A
241,77.0,N/A
242,77.0,N/A
243,77.0,N/A
244,77.0,N/A
245,77.0,N/A
246,77.0,N/A
247,78.0,N/A
248,78.0,N/A
249,78.0,N/A
250,78.0,N/A
251,78.0,N/A
252,78.0,N/A
253,78.0,N/A
254,78.0,N/A
255,78.0,N/A
256,78.0,N/A
257,78.0,N/A
258,78.0,N/A
259,78.0,N/A
260,78.0,N/A
261,78.0,N/A
262,78.0,N/A
263,78.0,N/A
264,78.0,N/A
265,78.0,N/A
266,78.0,N/A
267,79.0,N/A
268,79.0,N/A
269,79.0,N/A
270,79.0,N/A
271,79.0,N/A
272,79.0,N/A
273,79.0,N/A
274,79.0,N/A
275,79.0,N/A
276,79.0,N/A
277,79.0,N/A
278,79.0,N/A
279,79.0,N/A
280,79.0,N/A
281,79.0,N/A
282,79.0,N/A
283,79.0,N/A
284,79.0,N/A
285,79.0,N/A
286,79.0,N/A
287,80.0,N/A
288,80.0,N/A
289,80.0,N/A
290,80.0,N/A
291,80.0,N/A
292,80.0,N/A
293,80.0,N/A
294,80.0,N/A
295,80.0,N/A
296,80.0,N/A
297,69.0,N/A
298,69.0,N/A
299,69.0,N/A
300,69.0,N/A
301,69.0,N/A
302,69.0,N/A
303,69.0,N/A
304,69.0,N/A
305,69.0,N/A
306,70.0,N/A
307,70.0,N/A
308,70.0,N/A
309,70.0,N/A
310,70.0,N/A
311,70.0,N/A
312,70.0,N/A
313,70.0,N/A
314,70.0,N/A
315,70.0,N/A
316,69.0,N/A
317,69.0,N/A
318,69.0,N/A
319,69.0,N/A
320,69.0,N/A
321,69.0,N/A
322,69.0,N/A
323,69.0,N/A
324,69.0,N/A
325,70.0,N/A
326,70.0,N/A
327,70.0,N/A
328,70.0,N/A
329,70.0,N/A
330,70.0,N/A
331,70.0,N/A
332,70.0,N/A
333,70.0,N/A
334,70.0,N/A
335,70.0,N/A
336,70.0,N/A
337,70.0,N/A
338,70.0,N/A
339,70.0,N/A
340,70.0,N/A
341,70.0,N/A
342,70.0,N/A
343,62.0,N/A
344,62.0,N/A
345,62.0,N/A
346,62.0,N/A
347,62.0,N/A
348,62.0,N/A
349,62.0,N/A
350,62.0,N/A
351,62.0,N/A
352,62.0,N/A
353,59.0,N/A
354,59.0,N/A
355,59.0,N/A
356,59.0,N/A
357,59.0,N/A
358,59.0,N/A
359,59.0,N/A
360,59.0,N/A
361,59.0,N/A
362,59.0,N/A
363,63.0,N/A
364,63.0,N/A
365,63.0,N/A
366,63.0,N/A
367,63.0,N/A
368,63.0,N/A
369,63.0,N/A
370,63.0,N/A
371,63.0,N/A
372,63.0,N/A
373,59.0,N/A
374,59.0,N/A
375,59.0,N/A
376,59.0,N/A
377,59.0,N/A
378,59.0,N/A
379,59.0,N/A
380,59.0,N/A
381,59.0,N/A
